id,crc,createdAt,faultCode,faultCodeType,faultMessage,firmName,kavachSubSystemId,kavachSubSystemType,messageDate,messageLength,messageSequence,messageTime,moduleId,nmsSystemId,systemVersion,totalFaultCodes
1,9E7C17D9,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20516,00:22:12,1,3,1,1
1,49F87C3E,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20547,00:22:38,2,3,1,1
1,1173589B,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20548,00:22:38,1,3,1,1
1,7B949CEE,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20555,00:22:44,1,3,1,1
1,231FB84B,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20556,00:22:44,2,3,1,1
1,093A9C49,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20620,00:23:10,1,3,1,1
1,CC6DB3FF,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20621,00:23:10,2,3,1,1
1,30321D08,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20643,00:23:16,2,3,1,1
1,68B939AD,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20644,00:23:16,1,3,1,1
1,92DD45CF,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20676,00:23:42,2,3,1,1
1,578A6A79,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20677,00:23:42,1,3,1,1
1,108DB989,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20685,00:23:48,1,3,1,1
1,A16E90CE,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20686,00:23:48,2,3,1,1
